time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure,altitude,fix_q,sat,lat,long,gps_alt,gps_speed,telem_signal
2298.556,-0.448,-9.888,-0.496,-0.158,0.866,-0.171,-0.0,-0.001,-0.001,96.675,31.271,994.757,12.86,0.0,0.0,0.0,0.0,0.0,0.0,-52
2298.966,-0.458,-9.901,-0.471,-0.151,0.865,-0.187,0.002,-0.0,-0.0,96.684,31.365,994.737,13.471,0.0,0.0,0.0,0.0,0.0,0.0,-52
2299.374,0.5,-9.612,-0.387,-0.107,0.873,-0.181,0.162,-0.015,0.967,96.693,31.359,994.794,11.721,0.0,0.0,0.0,0.0,0.0,0.0,-53
2299.775,4.418,-8.779,-0.908,0.03,0.829,-0.18,-0.012,-0.08,0.665,96.684,31.233,994.763,12.726,0.0,0.0,0.0,0.0,0.0,0.0,-55
2300.177,5.328,-8.261,-0.886,0.067,0.8,-0.194,0.001,-0.077,0.257,96.675,31.107,994.712,13.165,0.0,0.0,0.0,0.0,0.0,0.0,-55
2300.581,6.083,-7.775,-0.753,0.099,0.785,-0.2,0.0,-0.015,0.151,96.666,31.398,994.757,13.385,0.0,0.0,0.0,0.0,0.0,0.0,-54
2300.981,6.226,-7.559,-0.721,0.103,0.77,-0.195,0.015,-0.016,0.037,96.647,31.08,994.717,12.667,0.0,0.0,0.0,0.0,0.0,0.0,-54
2301.388,6.017,-8.205,0.347,0.07,0.803,-0.178,0.631,-0.377,-0.528,96.666,31.304,994.727,12.524,0.0,0.0,0.0,0.0,0.0,0.0,-55
2301.79,3.455,-7.092,-5.886,0.025,0.877,0.038,1.06,0.914,-0.539,96.666,31.162,994.747,12.916,0.0,0.0,0.0,0.0,0.0,0.0,-60
2302.192,2.24,-5.751,-8.137,-0.047,0.879,0.153,0.303,0.091,-0.025,96.601,30.817,994.764,12.963,0.0,0.0,0.0,0.0,0.0,0.0,-60
2302.599,1.755,-5.42,-8.524,-0.06,0.871,0.187,0.005,-0.043,-0.072,96.601,30.981,994.745,12.36,0.0,0.0,0.0,0.0,0.0,0.0,-60
2303.0,2.07,-5.399,-8.665,-0.061,0.866,0.165,-0.13,-0.061,-0.024,96.601,30.707,994.741,12.466,0.0,0.0,0.0,0.0,0.0,0.0,-57
2303.412,1.978,-7.247,-5.227,-0.074,0.922,-0.025,-2.371,-0.317,-0.51,96.629,30.976,994.749,12.906,0.0,0.0,0.0,0.0,0.0,0.0,-52
2303.819,-0.811,-9.849,0.681,-0.138,0.811,-0.251,-0.718,-0.313,-0.548,96.666,30.97,994.767,13.069,0.0,0.0,0.0,0.0,0.0,0.0,-53
2304.227,-1.807,-9.064,3.384,-0.189,0.746,-0.296,-0.164,-0.051,0.15,96.629,31.003,994.724,13.385,0.0,0.0,0.0,0.0,0.0,0.0,-53
2304.637,-1.503,-9.191,3.3,-0.173,0.733,-0.298,-0.009,-0.085,0.021,96.638,30.713,994.765,13.098,0.0,0.0,0.0,0.0,0.0,0.0,-53
2305.045,-1.236,-7.058,0.069,-0.162,0.75,-0.303,0.075,0.032,0.535,96.647,31.069,994.724,12.993,0.0,0.0,0.0,0.0,0.0,0.0,-51
2305.448,2.547,-8.332,3.527,-0.081,0.744,-0.282,0.369,0.146,1.41,96.666,30.833,994.724,13.232,0.0,0.0,0.0,0.0,0.0,0.0,-58
2305.851,7.945,-5.999,0.587,0.102,0.734,-0.238,0.395,0.079,0.767,96.629,31.129,994.733,13.221,0.0,0.0,0.0,0.0,0.0,0.0,-59
2306.254,8.572,-4.628,1.068,0.105,0.697,-0.248,0.097,-0.414,0.349,96.583,31.031,994.745,13.297,0.0,0.0,0.0,0.0,0.0,0.0,-58
2306.658,8.667,-3.231,1.657,0.115,0.685,-0.224,0.489,-0.019,0.644,96.611,30.833,994.717,13.365,0.0,0.0,0.0,0.0,0.0,0.0,-58
2307.062,9.449,-1.685,-0.445,0.153,0.711,-0.165,0.756,0.072,0.544,96.638,30.976,994.739,13.566,0.0,0.0,0.0,0.0,0.0,0.0,-58
2307.467,9.808,-0.589,-0.067,0.166,0.721,-0.131,-0.246,0.208,-0.35,96.647,30.888,994.754,13.729,0.0,0.0,0.0,0.0,0.0,0.0,-55
2307.868,-2.569,-13.325,3.76,0.095,0.787,-0.173,-0.477,2.496,-1.854,96.638,30.559,994.728,13.538,0.0,0.0,0.0,0.0,0.0,0.0,-58
2308.282,2.472,-8.937,0.986,0.014,0.843,-0.175,-0.66,1.048,-0.691,96.647,30.964,994.746,12.859,0.0,0.0,0.0,0.0,0.0,0.0,-53
2308.685,0.731,-9.523,0.099,-0.044,0.87,-0.185,0.135,-0.466,-0.878,96.684,30.608,994.748,14.332,0.0,0.0,0.0,0.0,0.0,0.0,-52
2309.085,-1.696,-10.056,-0.095,-0.11,0.856,-0.191,-0.045,-0.01,-0.064,96.657,30.734,994.74,13.26,0.0,0.0,0.0,0.0,0.0,0.0,-53
2309.498,-0.403,-9.9,-0.506,-0.108,0.866,-0.184,0.015,0.011,-0.008,96.62,30.74,994.723,13.136,0.0,0.0,0.0,0.0,0.0,0.0,-53
2309.908,-0.398,-9.925,-0.534,-0.112,0.863,-0.194,0.007,-0.0,-0.002,96.611,30.559,994.736,13.795,0.0,0.0,0.0,0.0,0.0,0.0,-54
2310.32,-0.354,-9.926,-0.51,-0.116,0.864,-0.186,0.016,0.008,0.001,96.611,30.779,994.73,13.01,0.0,0.0,0.0,0.0,0.0,0.0,-52
2310.727,-0.373,-9.914,-0.507,-0.112,0.868,-0.182,0.007,-0.003,-0.002,96.565,30.697,994.754,13.383,0.0,0.0,0.0,0.0,0.0,0.0,-52
2311.134,-0.368,-9.909,-0.521,-0.124,0.859,-0.184,0.002,-0.005,-0.0,96.565,30.554,994.743,12.8,0.0,0.0,0.0,0.0,0.0,0.0,-52
2311.543,-0.377,-9.887,-0.541,-0.115,0.862,-0.192,0.005,-0.001,-0.001,96.574,30.658,994.749,13.479,0.0,0.0,0.0,0.0,0.0,0.0,-52
2311.948,-0.373,-9.861,-0.493,-0.115,0.864,-0.189,0.002,-0.006,0.0,96.574,30.598,994.718,13.479,0.0,0.0,0.0,0.0,0.0,0.0,-52
2312.356,-0.377,-9.893,-0.524,-0.119,0.849,-0.185,0.002,-0.004,0.0,96.574,30.686,994.743,13.718,0.0,0.0,0.0,0.0,0.0,0.0,-52
2312.765,-0.382,-9.927,-0.538,-0.116,0.856,-0.179,0.003,0.003,0.003,96.546,30.883,994.704,13.344,0.0,0.0,0.0,0.0,0.0,0.0,-52
2313.17,-0.382,-9.895,-0.525,-0.119,0.863,-0.18,0.0,0.001,0.001,96.491,30.758,994.714,13.707,0.0,0.0,0.0,0.0,0.0,0.0,-52
2313.576,-0.364,-9.887,-0.528,-0.116,0.85,-0.191,0.004,-0.002,0.001,96.491,30.681,994.757,13.085,0.0,0.0,0.0,0.0,0.0,0.0,-52
2313.984,-0.364,-9.908,-0.535,-0.11,0.852,-0.181,0.002,0.038,0.001,96.473,30.495,994.718,13.219,0.0,0.0,0.0,0.0,0.0,0.0,-53
2314.389,-0.38,-9.921,-0.555,-0.12,0.86,-0.181,0.003,-0.006,-0.001,96.473,30.741,994.781,12.052,0.0,0.0,0.0,0.0,0.0,0.0,-52
2314.796,-0.36,-9.907,-0.538,-0.111,0.876,-0.179,0.002,0.002,-0.001,96.464,30.736,994.741,13.334,0.0,0.0,0.0,0.0,0.0,0.0,-53
2315.204,-0.374,-9.885,-0.573,-0.117,0.865,-0.181,0.006,-0.002,-0.001,96.454,30.753,994.769,13.63,0.0,0.0,0.0,0.0,0.0,0.0,-54
2315.614,-0.38,-9.907,-0.569,-0.114,0.857,-0.183,0.004,-0.002,0.002,96.454,30.983,994.751,12.54,0.0,0.0,0.0,0.0,0.0,0.0,-54
2316.021,-0.367,-9.89,-0.567,-0.12,0.864,-0.184,-0.001,0.0,0.002,96.464,30.994,994.753,13.372,0.0,0.0,0.0,0.0,0.0,0.0,-55
2316.431,-0.385,-9.884,-0.556,-0.114,0.857,-0.185,0.003,0.038,-0.0,96.464,30.775,994.751,13.276,0.0,0.0,0.0,0.0,0.0,0.0,-57
2316.835,-0.362,-9.918,-0.6,-0.111,0.867,-0.177,0.001,-0.001,0.0,96.454,31.071,994.724,13.047,0.0,0.0,0.0,0.0,0.0,0.0,-54
2317.24,-0.376,-9.883,-0.521,-0.112,0.872,-0.196,0.002,-0.001,-0.001,96.445,30.824,994.707,12.903,0.0,0.0,0.0,0.0,0.0,0.0,-51
2317.65,-0.389,-9.893,-0.512,-0.111,0.85,-0.19,0.002,0.001,0.0,96.445,30.813,994.751,12.434,0.0,0.0,0.0,0.0,0.0,0.0,-49
2318.053,-0.378,-9.896,-0.561,-0.111,0.886,-0.189,0.003,-0.0,0.0,96.454,30.67,994.719,13.209,0.0,0.0,0.0,0.0,0.0,0.0,-52
2318.462,-0.388,-9.898,-0.539,-0.115,0.863,-0.179,0.005,0.001,-0.001,96.482,30.786,994.727,14.29,0.0,0.0,0.0,0.0,0.0,0.0,-51
2318.869,-0.37,-9.913,-0.564,-0.116,0.863,-0.182,0.004,0.002,0.0,96.454,31.076,994.747,12.693,0.0,0.0,0.0,0.0,0.0,0.0,-50
2319.273,-0.38,-9.885,-0.519,-0.123,0.866,-0.184,0.0,-0.003,-0.001,96.445,30.895,994.718,12.596,0.0,0.0,0.0,0.0,0.0,0.0,-50
2320.089,-0.366,-9.915,-0.537,-0.114,0.861,-0.189,0.008,-0.004,-0.002,96.381,30.973,994.723,13.361,0.0,0.0,0.0,0.0,0.0,0.0,-49
2320.497,-0.371,-9.907,-0.523,-0.124,0.852,-0.192,0.003,-0.006,0.001,96.353,30.852,994.721,12.758,0.0,0.0,0.0,0.0,0.0,0.0,-49
2320.901,-0.385,-9.913,-0.531,-0.115,0.868,-0.192,0.001,-0.003,0.001,96.335,31.121,994.702,12.854,0.0,0.0,0.0,0.0,0.0,0.0,-51
2321.31,-0.373,-9.919,-0.567,-0.11,0.856,-0.174,0.001,0.002,-0.001,96.371,31.05,994.759,12.873,0.0,0.0,0.0,0.0,0.0,0.0,-49
2321.718,-0.379,-9.912,-0.537,-0.107,0.876,-0.188,-0.004,0.005,0.001,96.353,30.902,994.761,13.399,0.0,0.0,0.0,0.0,0.0,0.0,-48
